Item,Status,Date (evidence),First results,How reported
Models and parameter values,pre-specified,2026-09-23 05:18 UTC (commit 8d69d82),2026-09-23 06:09 UTC (commit d2592d7),Appendix A
Model validation criteria,pre-specified,2026-09-23 05:18 UTC (commit 8d69d82),2026-09-23 06:09 UTC (commit d2592d7),Section 4.2
Scope of model validation restricted to the study presentation,post hoc (after the first validation results),2026-09-24 02:52 UTC (commit c018729),same commit as the decision,200 mg data sets reported as external checks with their ratios; re-judgement on fully external data reported
Sampling-schedule decision rule (criteria a to d),"specified after the first schedule simulations were run, before any result was reported",2026-09-24 02:52 UTC (commit c018729),first schedule simulations: see Date of the models row; results withheld until validation was accepted,Section 5.7; recommendation unchanged in every variant
NCA engine replaced by a Phoenix-compatible engine,change after initial results; all dependent outputs regenerated,2026-09-24 13:23 UTC (commit d26f169),outputs regenerated before the operating characteristics were run,Previous versus new engine differences tabulated (results/nca_engine/); conclusions unchanged
"Operating-characteristic design (mechanisms, targets, trials, configurations, seeds, truth definition)",pre-specified,2026-09-24 13:28 UTC (commit 779e068),2026-09-25 00:55 UTC (commit b8a5351),Primary metric; every mechanism and configuration reported (Appendix F)
Cliff analysis design,pre-specified,2026-09-24 13:28 UTC (commit 779e068),2026-09-24 13:58 UTC (commit 5f972bd),Section 5.1
Reliability criteria set (i) (without the span ratio),post hoc,2026-09-25 00:49 UTC (commit 0f6bf72),2026-09-25 00:49 UTC (commit 0f6bf72),"Reported first, with set (ii) alongside (set (ii) is the pre-specified definition)"
"AUC0-inf + Cmax under rules B and C, and rules A and C under criteria set (i)",post hoc,2026-09-25 00:49 UTC (commit 0f6bf72),2026-09-25 03:06 UTC (commit bf9a5b1),Labelled post hoc in Table 5-5; same trials regenerated with the same seeds
"Extension to 20,000 trials of a boundary scenario whose Wilson interval included 5%",post hoc (data-dependent),2026-09-25 02:21 UTC (commit 68be707),2026-09-25 03:06 UTC (commit bf9a5b1),"Both the pre-specified 10,000-trial value and the 20,000-trial value are reported"
"Interpretation of AUC0-last + Cmax at the boundaries (unbiased baseline, classification, decomposition)",post hoc,2026-09-25 02:21 UTC (commit 68be707),2026-09-25 03:06 UTC (commit bf9a5b1),Section 5.4
Random product space reported as a secondary metric,post hoc reporting priority; the analysis itself was pre-specified,2026-09-25 02:21 UTC (commit 68be707),2026-09-25 00:55 UTC (commit b8a5351),Section 5.5
